,Unnamed: 0,pid,hid,cid,syear,jl0058,jl0059_h,jl0061,jl0062,jl0063,jl0064,jl0065,jl0066,jl0067,jl0068,jl0069,jl0070,jl0071,jl0072,jl0073,jl0074,jl0105_h,jl0125_v3,jl0127_h,jl0139,jl0140,jl0141,jl0142,jl0143,jl0144,jl0145,jl0146,jl0151,jl0164,jl0176_h,jl0218,jl0219,jl0233,jl0272,trust,rely_none,distrust_stranger,jl0367,jl0371,jl0376,jl0379,jl0388,jl0392,sex,gebjahr,psample,migback,State,bet3year,fsedu,msedu,fprofedu,mprofedu,freli,mreli,fegp88,living1,mprofstat,Age,Gymnasium,year_hgsch_entry,Treat,rely_someone,trust_stranger,trust_var,std_trust_var,std_trust
1113,1113,1023003,102300.0,46833,2012.0,[1] Taeglich,[2] Jede Woche,[1] Taeglich,[4] Seltener,[1] Taeglich,[5] Nie,[5] Nie,[4] Seltener,[1] Taeglich,[1] Taeglich,[5] Nie,[1] Taeglich,[5] Nie,[-1] keine Angabe,[-1] keine Angabe,[2] Nein,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[1] als SchulsprecherIn,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in anderer AG,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[5] Weniger als ein Viertel,[2] gut,182.0,1995.0,[4] Auf dem Land,3,6,4,[4] 4 auf Skala 1-7,[5] 5 auf Skala 1-7,"[1] 1 Trifft ueberhaupt nicht zu, (Skala 1-7)",[5] 5 auf Skala 1-7,[4] Ueberhaupt nicht,[10] 10 Zufrieden: Skala 0-Niedrig bis 10-Hoc,[1] maennlich,1995.0,"[2] B 1984 Migration (bis 1983, West)",[1] kein Migrationshintergrund,[9] Bayern,2006.0,[4] Abitur,[2] Realschule,"[27] FS,Techn.-o.Meisters",[24] Gewerbl.o.Lw.Lehre,[6] konfessionslos,[1] Katholisch,[2] (II) Lower Managerial and Professional Workers,[-3] nicht valide,[530] mit qualifizierter Taetigkeit,17.0,1,2006.0,1,2,4,9,-1.0225732545981345,-0.9709834075271422
1118,1118,471706,116076.0,47171,2014.0,[1] Taeglich,[4] Seltener,[1] Taeglich,[1] Taeglich,[4] Seltener,[1] Taeglich,[2] Jede Woche,[5] Nie,[5] Nie,[2] Jede Woche,[5] Nie,[1] Taeglich,[5] Nie,[2] Jede Woche,[3] Jeden Monat,[2] Nein,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[2] Die meisten,[1] sehr gut,180.0,1997.0,[1] Grosstadt,6,2,5,[5] 5 auf Skala 1-7,[5] 5 auf Skala 1-7,"[1] 1 Trifft ueberhaupt nicht zu, (Skala 1-7)","[7] 7 Trifft voll zu, (Skala 1-7)",[4] Ueberhaupt nicht,[9] 9 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[1] maennlich,1997.0,"[2] B 1984 Migration (bis 1983, West)",[3] indirekter Migrationshintergrund,[8] Baden-Wuerttemberg,2008.0,[5] sonstiger Abschluss,[2] Realschule,[10] Keine abg.Ausbildung,[24] Gewerbl.o.Lw.Lehre,[3] Andere christl. RG,[3] Andere christl. RG,[9] (VIIa) Semi- and Unskilled Manual Workers,15.0,[210] ungelernter Arbeiter,17.0,1,2008.0,1,6,3,15,0.7754027808491173,1.1637576769475273
1122,1122,993704,99376.0,47376,2015.0,[1] Taeglich,[5] Nie,[1] Taeglich,[4] Seltener,[2] Jede Woche,[4] Seltener,[5] Nie,[1] Taeglich,[1] Taeglich,[5] Nie,[1] Taeglich,[1] Taeglich,[4] Seltener,[4] Seltener,[3] Jeden Monat,[2] Nein,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in Chor/Orchester,[-2] trifft nicht zu,[1] in anderer AG,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[3] Etwa die Haelfte,[1] sehr gut,160.0,1998.0,[4] Auf dem Land,3,1,7,[6] 6 auf Skala 1-7,[6] 6 auf Skala 1-7,[4] 4 auf Skala 1-7,[4] 4 auf Skala 1-7,[4] Ueberhaupt nicht,[9] 9 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[2] weiblich,1998.0,"[2] B 1984 Migration (bis 1983, West)",[3] indirekter Migrationshintergrund,[8] Baden-Wuerttemberg,2008.0,[5] sonstiger Abschluss,[2] Realschule,[10] Keine abg.Ausbildung,[24] Gewerbl.o.Lw.Lehre,[3] Andere christl. RG,[3] Andere christl. RG,[8] (VI) Skilled Manual Workers,15.0,[530] mit qualifizierter Taetigkeit,17.0,1,2008.0,1,7,1,11,-0.4232479094490505,-0.9709834075271422
1132,1132,960903,96091.0,47694,2017.0,[1] Taeglich,[4] Seltener,[1] Taeglich,[2] Jede Woche,[2] Jede Woche,[4] Seltener,[4] Seltener,[3] Jeden Monat,[2] Jede Woche,[5] Nie,[2] Jede Woche,[2] Jede Woche,[5] Nie,[5] Nie,[5] Nie,[1] Ja,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[1] bei Schuelerzeitung,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in freiwilliger AG,[1] in anderer AG,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[4] Etwa ein Viertel,[2] gut,173.0,2000.0,[3] Kleinstadt,3,5,6,[5] 5 auf Skala 1-7,[6] 6 auf Skala 1-7,[3] 3 auf Skala 1-7,[6] 6 auf Skala 1-7,[3] Nicht so stark,[8] 8 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[2] weiblich,2000.0,"[2] B 1984 Migration (bis 1983, West)",[1] kein Migrationshintergrund,[3] Niedersachsen,2011.0,[1] Hauptschule,[2] Realschule,[10] Keine abg.Ausbildung,[24] Gewerbl.o.Lw.Lehre,[1] Katholisch,[2] Evangelisch,[5] (IVa) Small Self-Employed with Employees,15.0,[530] mit qualifizierter Taetigkeit,17.0,1,2011.0,1,3,2,8,-1.3222359271726765,-0.9709834075271422
1139,1139,480705,48070.0,48070,2014.0,[2] Jede Woche,[1] Taeglich,[1] Taeglich,[1] Taeglich,[5] Nie,[4] Seltener,[5] Nie,[4] Seltener,[5] Nie,[5] Nie,[4] Seltener,[4] Seltener,[5] Nie,[5] Nie,[4] Seltener,[2] Nein,[2] Nein,[3] Ja Gymnasium,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,"[1] Nein, nichts davon",[3] Gymnasialempfehlung,[2] Nein,[5] Weniger als ein Viertel,[2] gut,170.0,1997.0,[1] Grosstadt,4,2,5,[5] 5 auf Skala 1-7,[4] 4 auf Skala 1-7,[4] 4 auf Skala 1-7,[6] 6 auf Skala 1-7,[4] Ueberhaupt nicht,[3] 3 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[1] maennlich,1997.0,"[2] B 1984 Migration (bis 1983, West)",[3] indirekter Migrationshintergrund,[5] Nordrhein-Westfalen,2009.0,[4] Abitur,[2] Realschule,[28] Beamtenausbildung,[24] Gewerbl.o.Lw.Lehre,[1] Katholisch,[1] Katholisch,[1] (I) Higher Managerial and Professional Workers,15.0,[440] mithelfende Familienangehoerige,17.0,1,2009.0,1,6,3,13,0.1760774357000334,-0.2594030460355856
1181,1181,811603,81167.0,49751,2010.0,[1] Taeglich,[1] Taeglich,[1] Taeglich,[2] Jede Woche,[1] Taeglich,[2] Jede Woche,[3] Jeden Monat,[1] Taeglich,[1] Taeglich,[2] Jede Woche,[1] Taeglich,[1] Taeglich,[2] Jede Woche,[2] Jede Woche,[2] Jede Woche,[1] Ja,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[1] bei Schuelerzeitung,[1] in Theatergruppe/Tanzgruppe,[1] in Chor/Orchester,[1] in freiwilliger AG,[-2] trifft nicht zu,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[5] Weniger als ein Viertel,[1] sehr gut,178.0,1993.0,[3] Kleinstadt,4,2,7,[4] 4 auf Skala 1-7,[3] 3 auf Skala 1-7,[3] 3 auf Skala 1-7,[5] 5 auf Skala 1-7,[2] Stark,[9] 9 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[1] maennlich,1993.0,"[2] B 1984 Migration (bis 1983, West)",[1] kein Migrationshintergrund,[9] Bayern,2003.0,[1] Hauptschule,[1] Hauptschule,[28] Beamtenausbildung,[24] Gewerbl.o.Lw.Lehre,[1] Katholisch,[1] Katholisch,[9] (VIIa) Semi- and Unskilled Manual Workers,15.0,[220] angelernter Arbeiter,17.0,1,2003.0,1,6,1,11,-0.4232479094490505,-0.2594030460355856
1197,1197,734704,73474.0,50237,2006.0,[1] Taeglich,[2] Jede Woche,[1] Taeglich,[5] Nie,[2] Jede Woche,[2] Jede Woche,[5] Nie,[1] Taeglich,[1] Taeglich,[5] Nie,[1] Taeglich,[2] Jede Woche,[5] Nie,[2] Jede Woche,[4] Seltener,[2] Nein,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in Theatergruppe/Tanzgruppe,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in anderer AG,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[5] Weniger als ein Viertel,[1] sehr gut,163.0,1989.0,[2] Mittelgrosse Stadt,4,2,7,[4] 4 auf Skala 1-7,[4] 4 auf Skala 1-7,[2] 2 auf Skala 1-7,"[1] 1 Trifft ueberhaupt nicht zu, (Skala 1-7)",[2] Stark,[7] 7 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[2] weiblich,1989.0,"[2] B 1984 Migration (bis 1983, West)",[3] indirekter Migrationshintergrund,[8] Baden-Wuerttemberg,1999.0,[1] Hauptschule,[2] Realschule,[20] beruflicheAusbildung,[24] Gewerbl.o.Lw.Lehre,[1] Katholisch,[1] Katholisch,[8] (VI) Skilled Manual Workers,0.0,[10] nicht erw.taetig,17.0,1,1999.0,0,6,1,11,-0.4232479094490505,-0.2594030460355856
1204,1204,732603,73261.0,50628,2007.0,[1] Taeglich,[2] Jede Woche,[2] Jede Woche,[4] Seltener,[2] Jede Woche,[5] Nie,[2] Jede Woche,[1] Taeglich,[4] Seltener,[5] Nie,[1] Taeglich,[1] Taeglich,[5] Nie,[5] Nie,[4] Seltener,[1] Ja,[2] Nein,[3] Ja Gymnasium,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in anderer AG,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[5] Weniger als ein Viertel,[2] gut,175.0,1990.0,[4] Auf dem Land,5,2,5,[2] 2 auf Skala 1-7,[6] 6 auf Skala 1-7,[5] 5 auf Skala 1-7,[6] 6 auf Skala 1-7,[3] Nicht so stark,[9] 9 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[1] maennlich,1990.0,"[2] B 1984 Migration (bis 1983, West)",[3] indirekter Migrationshintergrund,[8] Baden-Wuerttemberg,2001.0,[2] Realschule,[2] Realschule,[24] Gewerbl.o.Lw.Lehre,[24] Gewerbl.o.Lw.Lehre,[2] Evangelisch,[2] Evangelisch,[8] (VI) Skilled Manual Workers,15.0,[10] nicht erw.taetig,17.0,1,2001.0,0,6,3,14,0.47574010827457536,0.4521773154559709
1228,1228,1130803,113085.0,52353,2018.0,[1] Taeglich,[4] Seltener,[1] Taeglich,[5] Nie,[1] Taeglich,[5] Nie,[5] Nie,[3] Jeden Monat,[4] Seltener,[5] Nie,[2] Jede Woche,[5] Nie,[5] Nie,[5] Nie,[5] Nie,[2] Nein,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,"[1] Nein, nichts davon",[2] Realschulempfehlung,[2] Nein,[4] Etwa ein Viertel,[2] gut,186.0,2001.0,[4] Auf dem Land,4,4,6,[4] 4 auf Skala 1-7,[2] 2 auf Skala 1-7,[5] 5 auf Skala 1-7,[2] 2 auf Skala 1-7,[3] Nicht so stark,[7] 7 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[1] maennlich,2001.0,"[2] B 1984 Migration (bis 1983, West)",[3] indirekter Migrationshintergrund,[8] Baden-Wuerttemberg,2011.0,[5] sonstiger Abschluss,[1] Hauptschule,[24] Gewerbl.o.Lw.Lehre,[24] Gewerbl.o.Lw.Lehre,[4] Islamische RG,[4] Islamische RG,[8] (VI) Skilled Manual Workers,15.0,[10] nicht erw.taetig,17.0,1,2011.0,1,4,2,10,-0.7229105820235925,-0.2594030460355856
1234,1234,734304,73431.0,52582,2010.0,[1] Taeglich,[1] Taeglich,[1] Taeglich,[4] Seltener,[1] Taeglich,[4] Seltener,[3] Jeden Monat,[4] Seltener,[3] Jeden Monat,[5] Nie,[2] Jede Woche,[2] Jede Woche,[5] Nie,[3] Jeden Monat,[2] Jede Woche,[2] Nein,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in freiwilliger AG,[1] in anderer AG,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[5] Weniger als ein Viertel,[1] sehr gut,175.0,1993.0,[3] Kleinstadt,3,2,7,[2] 2 auf Skala 1-7,[2] 2 auf Skala 1-7,[3] 3 auf Skala 1-7,[5] 5 auf Skala 1-7,[3] Nicht so stark,[9] 9 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[1] maennlich,1993.0,"[2] B 1984 Migration (bis 1983, West)",[3] indirekter Migrationshintergrund,[3] Niedersachsen,2004.0,[3] Fachoberschule,[1] Hauptschule,[24] Gewerbl.o.Lw.Lehre,[26] Schule Gesundheitsw.,[3] Andere christl. RG,[3] Andere christl. RG,[1] (I) Higher Managerial and Professional Workers,15.0,[530] mit qualifizierter Taetigkeit,17.0,1,2004.0,1,6,1,10,-0.7229105820235925,-0.9709834075271422
1235,1235,734305,73431.0,52582,2015.0,[1] Taeglich,[3] Jeden Monat,[1] Taeglich,[2] Jede Woche,[2] Jede Woche,[5] Nie,[5] Nie,[4] Seltener,[4] Seltener,[5] Nie,[2] Jede Woche,[2] Jede Woche,[5] Nie,[5] Nie,[2] Jede Woche,[2] Nein,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in anderer AG,[-2] trifft nicht zu,[2] Realschulempfehlung,[2] Nein,[3] Etwa die Haelfte,[2] gut,174.0,1998.0,[4] Auf dem Land,4,3,5,[5] 5 auf Skala 1-7,[2] 2 auf Skala 1-7,[3] 3 auf Skala 1-7,[5] 5 auf Skala 1-7,[3] Nicht so stark,[10] 10 Zufrieden: Skala 0-Niedrig bis 10-Hoc,[1] maennlich,1998.0,"[2] B 1984 Migration (bis 1983, West)",[3] indirekter Migrationshintergrund,[3] Niedersachsen,2008.0,[3] Fachoberschule,[1] Hauptschule,[24] Gewerbl.o.Lw.Lehre,[26] Schule Gesundheitsw.,[3] Andere christl. RG,[3] Andere christl. RG,[1] (I) Higher Managerial and Professional Workers,15.0,[522] einf.Taetigkt m.Ausb.abschluss;ab 1991,17.0,1,2008.0,1,5,3,12,-0.12358523687450856,-0.2594030460355856
1239,1239,871904,87190.0,52868,2007.0,[1] Taeglich,[5] Nie,[1] Taeglich,[4] Seltener,[4] Seltener,[5] Nie,[4] Seltener,[3] Jeden Monat,[1] Taeglich,[5] Nie,[3] Jeden Monat,[1] Taeglich,[5] Nie,[5] Nie,[4] Seltener,[2] Nein,[2] Nein,[3] Ja Gymnasium,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,"[1] Nein, nichts davon",[3] Gymnasialempfehlung,[2] Nein,[6] Niemand/Außer mir niemand,[2] gut,165.0,1990.0,[1] Grosstadt,4,4,7,[3] 3 auf Skala 1-7,[3] 3 auf Skala 1-7,[3] 3 auf Skala 1-7,[3] 3 auf Skala 1-7,[3] Nicht so stark,[2] 2 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[2] weiblich,1990.0,"[2] B 1984 Migration (bis 1983, West)",[3] indirekter Migrationshintergrund,[11] Berlin,-2.0,[6] Kein Abschluss,[1] Hauptschule,[10] Keine abg.Ausbildung,[24] Gewerbl.o.Lw.Lehre,[6] konfessionslos,[3] Andere christl. RG,[9] (VIIa) Semi- and Unskilled Manual Workers,0.0,[210] ungelernter Arbeiter,17.0,1,2002.0,0,4,1,9,-1.0225732545981345,-0.2594030460355856
1255,1255,930203,93025.0,54275,2011.0,[1] Taeglich,[4] Seltener,[1] Taeglich,[3] Jeden Monat,[1] Taeglich,[4] Seltener,[5] Nie,[4] Seltener,[2] Jede Woche,[2] Jede Woche,[2] Jede Woche,[2] Jede Woche,[4] Seltener,[3] Jeden Monat,[4] Seltener,[1] Ja,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,"[1] Nein, nichts davon",[3] Gymnasialempfehlung,[2] Nein,[3] Etwa die Haelfte,[1] sehr gut,175.0,1994.0,[1] Grosstadt,3,2,5,"[1] 1 Trifft ueberhaupt nicht zu, (Skala 1-7)",[4] 4 auf Skala 1-7,[3] 3 auf Skala 1-7,[6] 6 auf Skala 1-7,[4] Ueberhaupt nicht,[8] 8 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[1] maennlich,1994.0,"[2] B 1984 Migration (bis 1983, West)",[1] kein Migrationshintergrund,[5] Nordrhein-Westfalen,2004.0,[4] Abitur,[4] Abitur,"[32] Hochsch.,Universit.",[24] Gewerbl.o.Lw.Lehre,[1] Katholisch,[2] Evangelisch,[1] (I) Higher Managerial and Professional Workers,11.0,"[421] Freiberuf.,Akademiker o.Mitarb;seit 2000",17.0,1,2004.0,0,6,3,12,-0.12358523687450856,-0.9709834075271422
1271,1271,557107,55719.0,55719,2017.0,[1] Taeglich,[1] Taeglich,[1] Taeglich,[5] Nie,[5] Nie,[5] Nie,[5] Nie,[4] Seltener,[4] Seltener,[2] Jede Woche,[5] Nie,[4] Seltener,[5] Nie,[5] Nie,[4] Seltener,[2] Nein,[2] Nein,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in Theatergruppe/Tanzgruppe,[1] in Chor/Orchester,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[4] Etwa ein Viertel,[1] sehr gut,168.0,2000.0,[1] Grosstadt,3,3,6,[3] 3 auf Skala 1-7,[5] 5 auf Skala 1-7,[4] 4 auf Skala 1-7,[2] 2 auf Skala 1-7,[4] Ueberhaupt nicht,[10] 10 Zufrieden: Skala 0-Niedrig bis 10-Hoc,[2] weiblich,2000.0,"[2] B 1984 Migration (bis 1983, West)",[3] indirekter Migrationshintergrund,[2] Hamburg,2010.0,[1] Hauptschule,[5] sonstiger Abschluss,[24] Gewerbl.o.Lw.Lehre,[10] Keine abg.Ausbildung,[4] Islamische RG,[4] Islamische RG,[8] (VI) Skilled Manual Workers,15.0,[210] ungelernter Arbeiter,17.0,1,2010.0,1,5,2,10,-0.7229105820235925,-0.9709834075271422
1278,1278,781704,78174.0,55883,2007.0,[1] Taeglich,[5] Nie,[1] Taeglich,[1] Taeglich,[5] Nie,[2] Jede Woche,[5] Nie,[5] Nie,[2] Jede Woche,[1] Taeglich,[5] Nie,[5] Nie,[5] Nie,[2] Jede Woche,[5] Nie,[2] Nein,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in Theatergruppe/Tanzgruppe,[1] in Chor/Orchester,[1] in freiwilliger AG,[-2] trifft nicht zu,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[5] Weniger als ein Viertel,[2] gut,158.0,1990.0,[2] Mittelgrosse Stadt,5,2,4,"[1] 1 Trifft ueberhaupt nicht zu, (Skala 1-7)","[1] 1 Trifft ueberhaupt nicht zu, (Skala 1-7)",[6] 6 auf Skala 1-7,[2] 2 auf Skala 1-7,[3] Nicht so stark,[8] 8 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[2] weiblich,1990.0,"[2] B 1984 Migration (bis 1983, West)",[3] indirekter Migrationshintergrund,[3] Niedersachsen,2002.0,[2] Realschule,[2] Realschule,[24] Gewerbl.o.Lw.Lehre,[10] Keine abg.Ausbildung,[4] Islamische RG,[4] Islamische RG,[9] (VIIa) Semi- and Unskilled Manual Workers,15.0,[10] nicht erw.taetig,17.0,1,2002.0,0,6,4,15,0.7754027808491173,0.4521773154559709
1280,1280,781706,78174.0,55883,2010.0,[4] Seltener,[4] Seltener,[1] Taeglich,[1] Taeglich,[2] Jede Woche,[2] Jede Woche,[4] Seltener,[1] Taeglich,[1] Taeglich,[1] Taeglich,[2] Jede Woche,[2] Jede Woche,[4] Seltener,[1] Taeglich,[3] Jeden Monat,[1] Ja,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in Theatergruppe/Tanzgruppe,[1] in Chor/Orchester,[-2] trifft nicht zu,[1] in anderer AG,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[5] Weniger als ein Viertel,[1] sehr gut,172.0,1993.0,[2] Mittelgrosse Stadt,2,1,7,[5] 5 auf Skala 1-7,[6] 6 auf Skala 1-7,[3] 3 auf Skala 1-7,[5] 5 auf Skala 1-7,[3] Nicht so stark,[7] 7 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[1] maennlich,1993.0,"[2] B 1984 Migration (bis 1983, West)",[3] indirekter Migrationshintergrund,[3] Niedersachsen,2004.0,[2] Realschule,[2] Realschule,[24] Gewerbl.o.Lw.Lehre,[10] Keine abg.Ausbildung,[4] Islamische RG,[4] Islamische RG,[9] (VIIa) Semi- and Unskilled Manual Workers,15.0,[10] nicht erw.taetig,17.0,1,2004.0,1,7,1,10,-0.7229105820235925,-1.6825637690186985
1281,1281,781707,78174.0,55883,2014.0,[4] Seltener,[5] Nie,[1] Taeglich,[1] Taeglich,[2] Jede Woche,[2] Jede Woche,[3] Jeden Monat,[5] Nie,[1] Taeglich,[2] Jede Woche,[2] Jede Woche,[2] Jede Woche,[3] Jeden Monat,[3] Jeden Monat,[3] Jeden Monat,[1] Ja,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[2] Die meisten,[3] zufriedenstellend,161.0,1997.0,[2] Mittelgrosse Stadt,5,2,7,[4] 4 auf Skala 1-7,[4] 4 auf Skala 1-7,[3] 3 auf Skala 1-7,[5] 5 auf Skala 1-7,[3] Nicht so stark,[8] 8 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[2] weiblich,1997.0,"[2] B 1984 Migration (bis 1983, West)",[3] indirekter Migrationshintergrund,[3] Niedersachsen,2008.0,[2] Realschule,[2] Realschule,[24] Gewerbl.o.Lw.Lehre,[10] Keine abg.Ausbildung,[4] Islamische RG,[4] Islamische RG,[9] (VIIa) Semi- and Unskilled Manual Workers,15.0,[10] nicht erw.taetig,17.0,1,2008.0,1,6,1,12,-0.12358523687450856,0.4521773154559709
1340,1340,933904,93394.0,57630,2016.0,[1] Taeglich,[1] Taeglich,[1] Taeglich,[4] Seltener,[3] Jeden Monat,[4] Seltener,[4] Seltener,[2] Jede Woche,[2] Jede Woche,[2] Jede Woche,[2] Jede Woche,[2] Jede Woche,[4] Seltener,[4] Seltener,[5] Nie,[2] Nein,[2] Nein,[3] Ja Gymnasium,[-2] trifft nicht zu,[1] als KlassensprecherIn,[-2] trifft nicht zu,[1] bei Schuelerzeitung,[-2] trifft nicht zu,[1] in Chor/Orchester,[1] in freiwilliger AG,[-2] trifft nicht zu,[-2] trifft nicht zu,[-1] keine Angabe,[2] Nein,[3] Etwa die Haelfte,[2] gut,156.0,1999.0,[2] Mittelgrosse Stadt,4,2,6,[4] 4 auf Skala 1-7,[5] 5 auf Skala 1-7,[5] 5 auf Skala 1-7,[6] 6 auf Skala 1-7,[3] Nicht so stark,[8] 8 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[2] weiblich,1999.0,"[2] B 1984 Migration (bis 1983, West)",[3] indirekter Migrationshintergrund,[6] Hessen,2011.0,[1] Hauptschule,[-1] keine Angabe,"[25] Kaufm.L.,Bfs,Handels",[-1] keine Angabe,[6] konfessionslos,[-1] keine Angabe,[9] (VIIa) Semi- and Unskilled Manual Workers,15.0,[-1] keine Angabe,17.0,1,2011.0,1,6,2,12,-0.12358523687450856,-0.2594030460355856
1341,1341,992503,99252.0,57649,2014.0,[1] Taeglich,[4] Seltener,[1] Taeglich,[1] Taeglich,[4] Seltener,[1] Taeglich,[2] Jede Woche,[5] Nie,[2] Jede Woche,[1] Taeglich,[2] Jede Woche,[2] Jede Woche,[5] Nie,[5] Nie,[4] Seltener,[2] Nein,[1] Ja,[3] Ja Gymnasium,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[-2] trifft nicht zu,[1] in Chor/Orchester,[1] in freiwilliger AG,[-2] trifft nicht zu,[-2] trifft nicht zu,[3] Gymnasialempfehlung,[2] Nein,[3] Etwa die Haelfte,[1] sehr gut,165.0,1997.0,[3] Kleinstadt,6,1,6,[6] 6 auf Skala 1-7,[5] 5 auf Skala 1-7,[4] 4 auf Skala 1-7,[6] 6 auf Skala 1-7,[3] Nicht so stark,[9] 9 Zufrieden: Skala 0-Niedrig bis 10-Hoch,[2] weiblich,1997.0,"[2] B 1984 Migration (bis 1983, West)",[3] indirekter Migrationshintergrund,[6] Hessen,2007.0,[2] Realschule,[3] Fachoberschule,[24] Gewerbl.o.Lw.Lehre,[28] Beamtenausbildung,[6] konfessionslos,[1] Katholisch,[8] (VI) Skilled Manual Workers,15.0,[630] Gehobener Dienst,17.0,1,2007.0,1,7,2,15,0.7754027808491173,1.1637576769475273
